,station_id,station_name,station_latitude,station_longitude,label
0,10,Washington St at Kearny St,37.7953929373,-122.4047702551,2
1,100,Bryant St at 15th St,37.7671004,-122.41066200000002,2
2,101,15th St at Potrero Ave,37.7670785046,-122.4073585868,2
3,101,San Bruno Ave at 16th St,37.7660077427,-122.4056768417,2
4,101,Potrero Ave at 15th St (Temporary Location),37.766628999999995,-122.407706,2
5,102,Irwin St at 8th St,37.7668828,-122.3995794,2
6,104,4th St at 16th St,37.7670445797,-122.390833497,2
7,105,16th St at Prosper St,37.764285,-122.43180420000002,2
8,106,Sanchez St at 17th St,37.7632417,-122.4306746,2
9,107,17th St at Dolores St,37.7630152,-122.42649679999998,2
10,108,16th St Mission BART,37.7647100858,-122.4199569225,2
11,109,17th St at Valencia St,37.7633158,-122.4219039,2
12,11,Davis St at Jackson St,37.79728,-122.398436,2
13,110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.41520420000002,2
14,112,Harrison St at 17th St,37.7638471,-122.41300359999998,2
15,113,Franklin Square,37.764555,-122.41034499999999,2
16,114,Rhode Island St at 17th St,37.7644783,-122.40257009999999,2
17,115,Jackson Playground,37.7650259,-122.39877340000001,2
18,116,Mississippi St at 17th St,37.76480220000001,-122.3947713,2
19,118,Eureka Valley Recreation Center,37.7591769,-122.4369431,2
20,119,18th St at Noe St,37.7610471,-122.43264170000002,2
21,120,Mission Dolores Park,37.7614205,-122.4264353,2
22,121,Mission Playground,37.75921029999999,-122.4213392,2
23,122,19th St at Mission St,37.760298999999996,-122.418892,2
24,123,Folsom St at 19th St,37.7605936,-122.41481709999998,2
25,124,19th St at Florida St,37.7604469,-122.410807,2
26,125,20th St at Bryant St,37.7592005,-122.409851,2
27,126,Esprit Park,37.7616343,-122.3906477,2
28,127,Valencia St at 21st St,37.7567083,-122.421025,2
29,129,Harrison St at 20th St,37.758862,-122.412544,2
30,13,Commercial St at Montgomery St,37.794230999999996,-122.402923,2
31,130,22nd St Caltrain Station,37.757368990100005,-122.39205658440001,2
32,130,22nd St Caltrain Station,37.757288407800004,-122.3920512199,2
33,130,22nd St Caltrain Station,37.757718421599996,-122.3918125033,2
34,131,22nd St at Dolores St,37.7550002604,-122.42572769520001,2
35,132,24th St at Chattanooga St,37.751819399999995,-122.42661389999999,2
36,133,Valencia St at 22nd St,37.7552126,-122.42097520000002,2
37,134,Valencia St at 24th St,37.7524278,-122.42062779999999,2
38,136,23rd St at San Bruno Ave,37.7544356,-122.40436389999999,2
39,137,Jersey St at Castro St,37.750506,-122.4339496,2
40,138,Jersey St at Church St,37.7509004,-122.42741140000001,2
41,139,Garfield Square (25th St at Harrison St),37.75101710000001,-122.4119009,2
42,14,Clay St at Battery St,37.795001,-122.39997,2
43,140,Cesar Chavez St at Dolores St,37.7478584,-122.42498629999999,2
44,141,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999,2
45,142,Guerrero Park,37.7457387962,-122.4221402407,2
46,144,Precita Park,37.74729960000001,-122.41140290000001,2
47,145,29th St at Church St,37.7436839,-122.42680590000002,2
48,146,30th St at San Jose Ave,37.7423139,-122.42318049999999,2
49,147,29th St at Tiffany Ave,37.74406670000001,-122.42147220000001,2
50,148,Horton St at 40th St,37.82970460000001,-122.28761019999999,0
51,149,Emeryville Town Hall,37.8312752,-122.28563329999999,0
52,15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,2
53,150,Adeline St at 40th St,37.8312769,-122.2782669,0
54,151,53rd St at Hollis St,37.8361823,-122.2871801,0
55,152,47th St at San Pablo Ave,37.8356322046,-122.28105068209999,0
56,153,59th St at Horton St,37.84094520000001,-122.2913604,0
57,154,Doyle St at 59th St,37.841923799999996,-122.28804509999999,0
58,155,Emeryville Public Market,37.840521166900004,-122.2935283184,0
59,156,Stanford Ave at Hollis St,37.8384435,-122.28866470000001,0
60,157,65th St at Hollis St,37.8467842,-122.2913761,0
61,158,Shattuck Ave at Telegraph Ave,37.8332786,-122.26349009999998,0
62,159,24th St at Market St,37.8160598,-122.27824440000002,0
63,16,Steuart St at Market St,37.794129999999996,-122.39443,2
64,160,West Oakland BART Station,37.805318299999996,-122.2948365,0
65,162,Franklin St at 9th St,37.8005161,-122.27207990000001,0
66,163,Lake Merritt BART Station,37.7973195,-122.26531990000001,0
67,164,Isabella St at San Pablo Ave,37.8149882304,-122.2748440504,0
68,166,College Ave at Alcatraz Ave,37.8513755,-122.25252330000001,0
69,167,College Ave at Harwood Ave,37.848152,-122.25215990000001,0
70,168,Alcatraz Ave at Shattuck Ave,37.8495949678,-122.2655689716,0
71,169,Bushrod Park,37.846515600000004,-122.26530430000001,0
72,17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002,2
73,170,Telegraph Ave at 58th St,37.8444927,-122.261351,0
74,171,Rockridge BART Station,37.844278754,-122.2519004345,0
75,172,College Ave at Taft Ave,37.8417999,-122.25153490000001,0
76,173,Shattuck Ave at 55th St,37.8403643,-122.26448810000001,0
77,173,Shattuck Ave at 55th Ave,37.8403643,-122.26448810000001,0
